Account Number,Term,Month,Year,Usage,Profile On-Peak,Profile Off-Peak,Cumulative Volume,Price Term to Date,Load Factor,Address Street,Address City,Address State,Address Zip,Address Country,POR,Tax,Service Class,Zone
1234567890,25,Jan,2022,35000,19411.47229,15588.52771,1635000,0.044298878,0.702493853,180 Westcott St,syracuse,NY,13210,US,1.00012651,1.00182702,SC1,E
1234567890,26,Feb,2022,46000,26279.03395,19720.96605,1681000,0.044733448,0.702493853,180 Westcott St,syracuse,NY,13210,US,1.00012651,1.00182702,SC1,E
1234567890,27,Mar,2022,93000,47822.56951,45177.43049,1774000,0.044737546,0.702493853,180 Westcott St,syracuse,NY,13210,US,1.00012651,1.00182702,SC1,E
1234567890,28,Apr,2022,82000,45756.13439,36243.86561,1856000,0.044521436,0.702493853,180 Westcott St,syracuse,NY,13210,US,1.00012651,1.00182702,SC1,E
1234567890,29,May,2022,74000,42061.49093,31938.50907,1930000,0.044243792,0.702493853,180 Westcott St,syracuse,NY,13210,US,1.00012651,1.00182702,SC1,E
1234567890,30,Jun,2022,77000,40464.2062,36535.7938,2007000,0.044053159,0.702493853,180 Westcott St,syracuse,NY,13210,US,1.00012651,1.00182702,SC1,E
1234567890,31,Jul,2022,110000,62909.64362,47090.35638,2117000,0.044271724,0.702493853,180 Westcott St,syracuse,NY,13210,US,1.00012651,1.00182702,SC1,E
1234567890,32,Aug,2022,54000,29671.57865,24328.42135,2171000,0.044572791,0.702493853,180 Westcott St,syracuse,NY,13210,US,1.00012651,1.00182702,SC1,E
1234567890,33,Sep,2022,65000,35343.54088,29656.45912,2236000,0.044570696,0.702493853,180 Westcott St,syracuse,NY,13210,US,1.00012651,1.00182702,SC1,E
1234567890,34,Oct,2022,98000,55071.14609,42928.85391,2334000,0.044413181,0.702493853,180 Westcott St,syracuse,NY,13210,US,1.00012651,1.00182702,SC1,E
1234567890,35,Nov,2022,33000,17515.79789,15484.20211,2367000,0.044378621,0.702493853,180 Westcott St,syracuse,NY,13210,US,1.00012651,1.00182702,SC1,E
1234567890,36,Dec,2022,33000,17526.51659,15473.48341,2400000,0.044413631,0.702493853,180 Westcott St,syracuse,NY,13210,US,1.00012651,1.00182702,SC1,E
